epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3259.29,1.74126,1.07497,2.12571,0.68448,0.71397,0.70654,0.24027,2.19131,1.17562,2.09741,0.000165697,0.000165697,0.000165697
73,3296.17,1.70806,1.09716,2.07588,0.66497,0.65003,0.67686,0.24647,2.07448,1.20813,2.04845,0.000150021,0.000150021,0.000150021
74,3333.55,1.71394,1.0667,2.06359,0.69731,0.69432,0.73481,0.27067,2.02079,1.10676,2.01747,0.000135081,0.000135081,0.000135081
75,3371.39,1.67098,1.05429,2.03755,0.72954,0.70675,0.7483,0.27132,2.10731,1.08721,2.05605,0.000120894,0.000120894,0.000120894
76,3409.07,1.65693,1.03401,2.07859,0.71085,0.74891,0.75753,0.27574,2.07428,1.10737,2.03635,0.000107479,0.000107479,0.000107479
77,3447.17,1.63309,1.00379,2.05649,0.70461,0.73955,0.76486,0.28407,2.03812,1.08601,2.02,9.48504e-05,9.48504e-05,9.48504e-05
78,3484.31,1.63925,0.98161,2.05068,0.7242,0.7052,0.76013,0.27962,2.0395,1.08985,2.02496,8.30249e-05,8.30249e-05,8.30249e-05
79,3521.2,1.6986,1.01485,2.0741,0.71407,0.70087,0.75668,0.28944,2.01406,1.06323,2.01655,7.20167e-05,7.20167e-05,7.20167e-05
80,3563.07,1.66045,1.0312,2.04835,0.70621,0.72429,0.76201,0.3031,1.96073,1.0663,1.98951,6.1839e-05,6.1839e-05,6.1839e-05
81,3599.59,1.68138,1.01788,2.05266,0.72607,0.71179,0.76461,0.29806,1.98366,1.08399,1.99759,5.25044e-05,5.25044e-05,5.25044e-05
82,3641.02,1.6417,1.01338,2.03235,0.70938,0.74454,0.77458,0.3014,1.99084,1.04873,2.00323,4.40241e-05,4.40241e-05,4.40241e-05
83,3678.34,1.66111,1.00999,2.01578,0.72652,0.74246,0.77616,0.29613,1.99854,1.03996,2.00708,3.64085e-05,3.64085e-05,3.64085e-05
84,3716.14,1.67935,1.02718,2.06038,0.72672,0.71834,0.766,0.28351,2.04568,1.07452,2.02591,2.96668e-05,2.96668e-05,2.96668e-05
85,3753.47,1.63061,0.97248,2.04373,0.70926,0.73799,0.75851,0.27494,2.09334,1.11206,2.04853,2.38074e-05,2.38074e-05,2.38074e-05
86,3791.33,1.67716,1.02413,2.05467,0.73279,0.72052,0.76127,0.27663,2.08892,1.10712,2.04725,1.88372e-05,1.88372e-05,1.88372e-05
87,3828.37,1.66228,1.00896,2.06109,0.71125,0.72926,0.76254,0.2809,2.05901,1.09162,2.03375,1.47625e-05,1.47625e-05,1.47625e-05
88,3866.11,1.61387,0.97242,2.03872,0.71608,0.72138,0.76656,0.28561,2.0447,1.07957,2.02728,1.1588e-05,1.1588e-05,1.1588e-05
89,3903.15,1.63365,0.97683,2.0516,0.70772,0.73581,0.77106,0.29138,2.02971,1.07118,2.02147,9.31783e-06,9.31783e-06,9.31783e-06
90,3940.4,1.65521,0.9888,2.04721,0.71646,0.72926,0.77115,0.29278,2.02653,1.06881,2.01942,7.9546e-06,7.9546e-06,7.9546e-06
